Info 0    [18:15:10.719] Starting TS Server
Info 193  [18:21:21.634] getCompletionData: Is inside comment: 0
Info 194  [18:21:21.634] getCompletionData: Get previous token 1: 0
Info 195  [18:21:21.634] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 196  [18:21:21.635] getCompletionData: Semantic work: 1
Info 197  [18:21:21.638] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3
Info 198  [18:21:24.508] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 199  [18:21:24.513] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false Elapsed: 5ms
Info 200  [18:21:24.513] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 201  [18:21:24.735] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 202  [18:21:24.736] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false Elapsed: 1ms
Info 203  [18:21:24.736] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 204  [18:21:24.736] getCompletionData: Get current token: 0
Info 205  [18:21:24.736] getCompletionData: Is inside comment: 0
Info 206  [18:21:24.736] getCompletionData: Get previous token 1: 0
Info 207  [18:21:24.736] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 208  [18:21:24.737] getCompletionData: Semantic work: 1
Info 209  [18:21:27.432] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 210  [18:21:27.434] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false Elapsed: 2ms
Info 211  [18:21:27.434] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 212  [18:21:33.165] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 213  [18:21:33.169] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false Elapsed: 4ms
Info 214  [18:21:33.169] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 215  [18:22:7.581] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 216  [18:22:7.582] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false Elapsed: 1ms
Info 217  [18:22:7.582] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 218  [18:22:7.795] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 219  [18:22:7.797] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false Elapsed: 2ms
Info 220  [18:22:7.797] Different program with same set of files:: oldProgram.structureIsReused:: 2
